Customer ID,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Avg Monthly Long Distance Charges,Contract,Monthly Charge,Customer Status
5433-KYGHE,1,53,0,1,0,14,Offer D,47.72,Month-to-Month,86.0,0
0829-DDVLK,1,58,0,0,0,15,None,9.74,One Year,20.1,0
2521-NPUZR,0,26,1,0,9,70,Offer A,41.05,Two Year,101.0,0
5119-NZPTV,0,70,1,0,9,2,Offer E,34.99,Month-to-Month,70.1,0
2546-KZAAT,0,28,1,0,9,52,None,10.4,One Year,75.4,0
9314-IJWSQ,1,46,1,3,1,14,Offer D,26.58,Month-to-Month,84.8,0
8815-LMFLX,0,61,1,4,8,25,Offer C,19.56,Month-to-Month,-8.0,0
7945-HLKEA,1,29,0,0,0,60,None,37.95,One Year,64.75,0
0727-IWKVK,0,35,1,0,0,9,Offer E,19.18,Month-to-Month,79.9,1
2027-CWDNU,0,45,1,3,1,18,None,28.04,Month-to-Month,85.6,0
0082-LDZUE,0,54,0,0,0,1,Offer E,42.95,Month-to-Month,44.3,0
6305-YLBMM,0,50,0,0,0,69,None,2.52,One Year,104.05,1
8191-XWSZG,1,57,0,0,0,52,Offer B,22.55,One Year,20.65,0
4992-LTJNE,0,40,1,0,5,72,Offer A,24.24,Two Year,55.3,0
5780-INQIK,1,52,0,0,0,8,None,20.9,Month-to-Month,49.4,0
5730-DBDSI,0,50,0,0,0,66,Offer A,45.54,Two Year,19.7,0
7234-KMNRQ,0,21,0,0,0,4,None,8.38,Month-to-Month,19.0,0
9917-KWRBE,1,28,1,0,8,41,Offer B,18.84,One Year,78.35,0
9402-ROUMJ,1,52,1,3,10,67,Offer A,3.04,One Year,100.25,0
9518-IMLHK,0,48,0,0,0,31,None,41.23,Month-to-Month,72.45,0
1576-PFZIW,0,70,1,0,2,70,Offer A,14.48,Two Year,105.35,0
2720-FVBQP,1,28,1,1,1,6,Offer E,24.83,Month-to-Month,48.95,0
7278-CKDNC,0,76,0,0,0,24,None,46.13,Two Year,80.5,0
4323-OHFOW,1,72,1,0,1,70,None,33.74,One Year,105.55,0
7480-QNVZJ,0,65,0,0,0,50,None,18.92,Month-to-Month,95.7,1
8049-WJCLQ,0,50,1,2,5,10,Offer D,19.77,Month-to-Month,60.2,0
6032-KRXXO,0,33,0,0,0,30,None,30.06,Month-to-Month,90.25,1
9473-CBZOP,1,35,0,0,0,28,None,33.05,One Year,59.0,0
3823-KYNQY,0,61,0,0,0,12,Offer D,25.57,One Year,24.95,0
6651-AZVTJ,0,27,1,0,1,49,None,46.94,Month-to-Month,99.8,1
0164-APGRB,1,56,0,0,0,72,Offer A,48.37,Two Year,114.9,0
9027-YFHQJ,0,26,0,0,0,7,Offer E,45.13,Month-to-Month,25.05,0
4855-SNKMY,1,31,0,0,0,1,Offer E,4.41,Month-to-Month,44.1,1
8640-SDGKB,0,39,0,0,0,4,None,28.89,Month-to-Month,74.4,1
1845-CSBRZ,1,71,1,1,7,22,Offer D,40.19,Two Year,85.35,0
7813-ZGGAW,0,68,0,0,0,31,Offer C,15.35,Two Year,96.6,0
9158-VCTQB,1,41,1,0,1,41,None,5.01,Month-to-Month,113.6,1
5980-NOPLP,1,19,1,0,4,44,None,11.24,Month-to-Month,96.1,1
4980-URKXC,0,26,1,0,1,36,None,12.61,One Year,20.85,0
3551-HUAZH,0,68,0,0,0,1,Offer E,11.08,Month-to-Month,74.4,1
6432-TWQLB,0,51,1,0,1,5,Offer E,42.29,Month-to-Month,85.4,1
7394-FKDNK,1,62,1,0,3,9,Offer E,26.51,Month-to-Month,89.45,1
0428-IKYCP,0,56,1,0,9,22,None,48.68,Month-to-Month,87.0,0
3164-AALRN,0,39,0,0,0,5,None,45.25,One Year,70.0,1
1399-UBQIU,0,35,0,0,0,11,None,16.14,Month-to-Month,-3.0,0
1697-LYYYX,1,21,1,1,8,61,None,42.11,One Year,19.1,0
9251-WNSOD,1,23,1,0,10,67,Offer A,4.71,One Year,75.1,0
3391-JSQEW,0,32,1,0,7,40,None,24.3,Month-to-Month,50.15,0
5708-EVONK,1,37,1,0,1,58,None,3.65,Month-to-Month,93.4,1
4710-FDUIZ,0,50,1,0,2,56,None,26.15,One Year,100.3,1
8050-DVOJX,0,67,0,0,0,49,Offer B,43.19,Two Year,81.35,0
7740-BTPUX,0,72,1,0,7,55,Offer B,12.91,Two Year,113.6,0
8267-KFGYD,0,53,0,1,0,1,None,10.14,Month-to-Month,21.05,0
7036-TYDEC,1,44,0,0,0,69,None,1.85,Two Year,104.0,0
4373-MAVJG,1,64,1,0,1,14,Offer D,13.64,Month-to-Month,90.9,1
5115-SQAAU,1,55,1,1,5,69,None,20.98,Two Year,25.6,0
4929-XIHVW,0,79,1,0,10,2,Offer E,33.1,One Year,95.5,0
7817-BOQPW,1,32,0,0,0,2,None,41.37,Month-to-Month,75.55,1
0608-JDVEC,0,55,1,0,5,50,Offer B,1.87,Two Year,19.8,0
9637-CDTKZ,0,64,1,0,6,72,None,23.27,Two Year,114.1,0
5193-QLVZB,0,52,0,0,0,63,Offer B,48.75,Two Year,104.75,0
9667-TKTVZ,1,38,0,0,0,2,None,25.81,Month-to-Month,54.35,0
3810-PJUHR,0,63,1,1,6,70,Offer A,10.46,Two Year,25.35,0
2682-KEVRP,1,65,0,0,0,22,None,34.39,One Year,20.05,0
1579-KLYDT,0,31,0,0,0,7,Offer E,35.91,Month-to-Month,90.45,1
2074-GUHPQ,1,37,0,2,0,17,None,49.78,Month-to-Month,92.7,0
3190-ITQXP,1,42,1,1,7,46,None,27.65,Two Year,20.25,0
0327-WFZSY,0,62,1,3,9,39,Offer C,17.29,One Year,100.0,0
0657-DOGUM,1,35,1,0,1,48,Offer B,44.72,One Year,60.6,0
2135-RXIHG,0,63,0,0,0,1,Offer E,14.12,Month-to-Month,45.65,1
6630-UJZMY,1,73,1,0,10,4,None,14.34,One Year,83.25,0
3801-HMYNL,0,44,1,0,1,1,None,32.35,Month-to-Month,89.15,1
3473-XIIIT,1,61,1,0,1,16,None,37.83,Month-to-Month,100.0,1
4659-NZRUF,1,64,0,0,0,19,Offer D,32.87,Month-to-Month,95.15,1
3638-WEABW,1,25,1,0,1,58,Offer B,48.98,Two Year,59.9,0
6188-UXBBR,1,47,1,0,1,38,Offer C,10.54,One Year,20.25,0
0674-GCDXG,0,20,0,0,0,63,Offer B,42.59,Two Year,71.9,0
6369-MCAKO,1,50,1,1,4,68,Offer A,47.91,Two Year,89.05,0
0939-YAPAF,1,44,0,0,0,35,Offer C,10.49,Month-to-Month,100.25,1
1985-MBRYP,1,44,0,0,0,43,Offer B,6.71,Two Year,19.65,0
6586-MYGKD,0,46,1,0,1,70,Offer A,18.26,Two Year,76.95,0
5168-MQQCA,1,50,1,0,2,72,Offer A,38.44,One Year,108.5,0
3162-KKZXO,1,75,0,0,0,55,None,29.6,One Year,-2.0,0
7354-OIJLX,0,52,0,0,0,9,Offer E,7.32,Month-to-Month,75.85,0
2226-ICFDO,1,39,1,0,9,72,None,10.87,Two Year,85.9,0
2223-KAGMX,1,47,0,0,0,15,Offer D,33.14,Month-to-Month,19.4,1
7878-RTCZG,1,55,0,0,0,1,None,2.38,Month-to-Month,19.9,0
9661-JALZV,1,23,0,0,0,58,Offer B,47.9,Two Year,24.7,0
4897-QSUYC,1,42,0,0,0,1,Offer E,21.59,Month-to-Month,20.15,1
9399-APLBT,1,52,1,0,0,1,None,21.91,Month-to-Month,74.7,1
6982-SSHFK,0,45,0,0,0,1,Offer E,32.44,Month-to-Month,44.4,1
9944-AEXBM,0,51,0,0,0,32,None,37.04,Month-to-Month,85.65,0
4289-DTDKW,0,54,1,0,1,40,Offer B,22.56,Month-to-Month,101.3,1
3422-GALYP,0,20,0,0,0,2,Offer E,28.61,Month-to-Month,79.45,0
5598-IKHQQ,1,39,0,0,0,72,Offer A,6.75,Two Year,25.45,0
7753-USQYQ,0,47,0,0,0,55,Offer B,27.65,One Year,64.2,0
9603-OAIHC,0,72,0,0,0,1,Offer E,2.97,Two Year,70.05,0
9717-IOAAF,0,54,0,1,0,27,None,2.65,Two Year,25.85,0
3808-HFKDE,1,35,0,0,0,20,Offer D,4.15,Month-to-Month,44.35,0
9822-BIIGN,0,61,1,3,0,53,Offer B,27.56,Month-to-Month,71.85,0
0318-QUUOB,0,25,1,0,1,1,None,43.67,Month-to-Month,80.55,1
1963-VAUKV,1,31,0,0,0,1,Offer E,22.12,Month-to-Month,20.4,1
2669-QVCRG,1,32,0,0,0,41,None,7.83,Month-to-Month,81.3,0
2809-ZMYOQ,1,33,0,0,0,32,None,41.53,Month-to-Month,101.35,0
5696-QURRL,0,31,0,0,0,1,None,13.84,Month-to-Month,-5.0,1
0134-XWXCE,1,76,0,0,0,44,None,7.72,One Year,74.85,0
9725-SCPZG,0,47,0,0,0,1,Offer E,1.13,Month-to-Month,90.85,1
2888-ADFAO,1,47,1,3,5,47,None,3.95,Two Year,21.3,0
5356-KZCKT,0,42,0,0,0,58,Offer B,2.38,Two Year,24.45,0
2040-LDIWQ,0,51,1,0,8,65,Offer B,41.57,Two Year,84.2,0
5650-YLIBA,0,60,0,0,0,31,None,42.05,Month-to-Month,81.15,0
4430-YHXGG,1,20,0,3,0,4,Offer E,38.97,Month-to-Month,25.45,0
