Customer ID,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Avg Monthly Long Distance Charges,Contract,Monthly Charge
0002-ORFBO,Female,37,Yes,0,2,9,None,42.39,One Year,65.6
0003-MKNFE,Male,46,No,0,0,9,None,10.69,Month-to-Month,-4.0
0004-TLHLJ,Male,50,No,0,0,4,Offer E,33.65,Month-to-Month,73.9
0011-IGKFF,Male,78,Yes,0,1,13,Offer D,27.82,Month-to-Month,98.0
0013-EXCHZ,Female,75,Yes,0,3,3,None,7.38,Month-to-Month,83.9
0013-MHZWF,Female,23,No,3,0,9,Offer E,16.77,Month-to-Month,69.4
0013-SMEOE,Female,67,Yes,0,1,71,Offer A,9.96,Two Year,109.7
0014-BMAQU,Male,52,Yes,0,8,63,Offer B,12.96,Two Year,84.65
0015-UOCOJ,Female,68,No,0,0,7,Offer E,10.53,Two Year,48.2
0016-QLJIS,Female,43,Yes,1,3,65,None,28.46,Two Year,90.45
0017-IUDMW,Female,25,Yes,2,2,72,None,16.01,Two Year,116.8
0018-NYROU,Female,58,Yes,0,0,5,None,18.65,Month-to-Month,68.95
0019-EFAEP,Female,32,No,0,0,72,Offer A,2.25,Two Year,101.3
0020-INWCK,Female,58,Yes,2,9,71,Offer A,27.26,Two Year,95.75
0021-IKXGC,Female,72,No,0,0,1,Offer E,7.77,One Year,72.1
0022-TCJCI,Male,79,No,0,0,45,None,10.67,One Year,62.7
0023-UYUPN,Female,79,Yes,0,0,50,None,31.43,One Year,25.2
0023-XUOPT,Female,26,Yes,0,1,13,None,43.56,Month-to-Month,94.1
0027-KWYKW,Female,30,Yes,2,1,23,Offer D,34.91,Month-to-Month,83.75
0030-FNXPP,Female,22,No,0,0,3,None,3.12,Month-to-Month,19.85
0031-PVLZI,Female,34,Yes,0,0,4,Offer E,12.43,Month-to-Month,20.35
0036-IHMOT,Female,37,Yes,3,10,55,None,35.04,One Year,103.7
0040-HALCW,Male,42,Yes,3,3,54,None,19.7,Two Year,20.4
0042-JVWOJ,Male,64,No,0,0,26,Offer C,37.7,One Year,19.6
0042-RLHYP,Female,47,Yes,3,5,69,None,38.39,Two Year,19.7
0048-LUMLS,Male,23,Yes,3,1,37,Offer C,43.01,One Year,91.2
0048-PIHNL,Female,48,Yes,0,5,49,Offer B,49.58,One Year,20.45
0052-DCKON,Male,28,Yes,0,9,66,None,43.77,One Year,-2.0
0052-YNYOT,Female,28,No,0,0,67,None,23.12,One Year,20.55
0057-QBUQH,Female,31,No,3,0,43,None,30.64,Two Year,25.1
0058-EVZWM,Female,37,Yes,0,2,55,Offer B,5.08,Month-to-Month,89.8
0060-FUALY,Female,60,Yes,0,4,59,Offer B,16.39,Month-to-Month,94.75
0064-SUDOG,Female,48,Yes,3,3,12,None,19.28,Two Year,20.3
0064-YIJGF,Male,60,Yes,3,7,27,Offer C,25.26,Month-to-Month,75.75
0067-DKWBL,Male,69,No,0,0,2,None,43.99,Month-to-Month,49.25
0068-FIGTF,Female,20,No,0,0,27,Offer C,48.91,One Year,78.2
0071-NDAFP,Male,31,Yes,3,1,25,None,23.69,Two Year,25.5
0074-HDKDG,Male,46,Yes,0,5,25,None,6.45,One Year,61.6
0078-XZMHT,Male,19,Yes,0,5,72,None,32.36,Two Year,85.15
0080-EMYVY,Female,64,No,0,0,14,None,24.04,One Year,51.45
0080-OROZO,Female,38,No,0,0,35,Offer C,36.42,One Year,99.25
0082-LDZUE,Male,54,No,0,0,1,Offer E,42.95,Month-to-Month,44.3
0082-OQIQY,Male,50,No,0,0,29,None,2.05,Month-to-Month,94.2
0083-PIVIK,Male,25,No,0,0,64,None,5.49,One Year,81.25
0089-IIQKO,Female,35,Yes,3,1,39,None,24.38,Month-to-Month,99.95
0093-EXYQL,Female,72,No,0,0,40,None,44.14,Two Year,91.55
0093-XWZFY,Male,51,No,0,0,40,None,37.69,Month-to-Month,104.5
0094-OIFMO,Female,78,No,1,0,11,Offer D,11.59,Month-to-Month,95.0
0096-BXERS,Female,30,Yes,0,10,6,Offer E,42.66,Month-to-Month,50.35
0096-FCPUF,Male,58,No,0,0,30,None,2.64,Month-to-Month,64.5
0098-BOWSO,Male,26,No,0,0,27,None,20.66,Month-to-Month,19.4
0100-DUVFC,Male,66,Yes,0,3,70,None,39.49,One Year,104.8
0103-CSITQ,Female,20,Yes,0,10,57,Offer B,8.01,One Year,109.4
0104-PPXDV,Male,61,Yes,0,10,58,None,18.37,One Year,50.3
0106-GHRQR,Male,24,No,0,0,16,None,25.71,Month-to-Month,71.4
0106-UGRDO,Female,55,Yes,0,3,69,Offer A,38.52,Two Year,116.0
0107-WESLM,Male,32,No,0,0,1,Offer E,31.77,Month-to-Month,19.85
0107-YHINA,Male,59,No,0,0,1,None,40.71,Month-to-Month,99.75
0111-KLBQG,Male,71,Yes,1,9,32,Offer C,31.86,One Year,93.95
0112-QAWRZ,Male,49,Yes,2,8,16,Offer D,48.71,Month-to-Month,90.8
0112-QWPNC,Male,61,Yes,0,1,49,Offer B,39.55,One Year,84.35
0114-PEGZZ,Female,39,No,0,0,33,None,49.69,Month-to-Month,107.55
0114-RSRRW,Female,21,Yes,0,9,10,Offer D,49.6,Month-to-Month,19.95
0115-TFERT,Male,24,Yes,0,1,21,None,36.26,Month-to-Month,111.2
0118-JPNOY,Female,71,No,0,0,26,None,33.74,Month-to-Month,85.8
0122-OAHPZ,Female,29,No,0,0,7,None,28.62,Month-to-Month,73.85
0123-CRBRT,Female,62,Yes,0,1,61,Offer B,47.19,Two Year,88.1
0125-LZQXK,Male,42,No,0,0,15,Offer D,45.92,Month-to-Month,101.35
0129-KPTWJ,Male,39,Yes,0,9,72,None,33.22,Month-to-Month,94.65
0129-QMPDR,Male,64,Yes,0,1,44,None,27.4,One Year,20.5
0130-SXOUN,Male,55,No,0,0,66,Offer A,48.78,Month-to-Month,89.4
0133-BMFZO,Female,40,No,0,0,2,None,36.81,Month-to-Month,86.25
0134-XWXCE,Female,76,No,0,0,44,None,7.72,One Year,74.85
0135-NMXAP,Female,57,No,0,0,12,Offer D,14.38,Month-to-Month,89.75
0136-IFMYD,Male,71,Yes,0,1,69,None,18.41,Two Year,109.95
0137-OCGAB,Female,25,No,0,0,1,Offer E,1.23,Month-to-Month,80.2
0137-UDEUO,Female,24,No,0,0,3,Offer E,25.75,Month-to-Month,19.85
0139-IVFJG,Female,19,Yes,0,10,2,None,4.65,Month-to-Month,90.35
0141-YEAYS,Female,77,No,0,0,27,None,2.97,Two Year,86.45
0142-GVYSN,Male,57,No,0,0,26,Offer C,13.34,Month-to-Month,20.3
0147-ESWWR,Female,73,Yes,0,9,39,None,20.15,Month-to-Month,101.25
0148-DCDOS,Male,41,No,0,0,25,None,34.88,Month-to-Month,94.7
0151-ONTOV,Female,43,No,0,0,1,Offer E,39.81,Month-to-Month,70.9
0156-FVPTA,Male,48,Yes,0,1,22,Offer D,27.24,Month-to-Month,54.2
0164-APGRB,Female,56,No,0,0,72,Offer A,48.37,Two Year,114.9
0164-XAIRP,Female,51,No,0,0,24,None,10.64,Two Year,19.55
0168-XZKBB,Female,34,Yes,0,8,19,None,7.84,Month-to-Month,86.85
0174-QRVVY,Male,21,Yes,2,2,71,None,9.2,Two Year,25.35
0177-PXBAT,Male,78,Yes,0,7,33,None,25.15,One Year,109.9
0178-CIIKR,Female,60,No,0,0,3,None,2.69,Month-to-Month,19.95
0178-SZBHO,Male,54,Yes,1,7,47,None,1.09,Month-to-Month,87.2
0181-RITDD,Male,42,Yes,3,2,62,None,1.76,Two Year,108.15
0186-CAERR,Male,22,No,0,0,71,None,2.88,One Year,116.3
0187-QSXOE,Male,71,Yes,0,8,7,None,41.97,Two Year,89.0
0187-WZNAB,Female,56,Yes,2,6,27,Offer C,46.66,Month-to-Month,74.4
0188-GWFLE,Male,33,No,0,0,2,None,1.81,Month-to-Month,20.05
0191-ZHSKZ,Male,80,No,0,0,30,None,38.61,One Year,74.75
0193-ESZXP,Female,73,Yes,0,1,58,None,16.94,One Year,105.5
0195-IESCP,Male,26,Yes,0,1,10,Offer D,2.02,Month-to-Month,85.25
0196-JTUQI,Female,59,No,0,0,9,None,9.27,Month-to-Month,75.2
0196-VULGZ,Female,78,Yes,0,1,6,None,28.71,Month-to-Month,84.35
0197-PNKNK,Female,47,Yes,1,7,69,None,38.92,One Year,84.45
